Issue Type,Summary,Description,Priority,Story Points,Epic Link,Assignee,Labels,Sprint,Status,Component
Story,보안 강화,"HTTPS, Rate Limiting, CORS, SQL Injection/XSS 방지, 보안 헤더",High,5,인프라 & 배포,Backend Developer Agent,security,Sprint 3,To Do,Backend
Task,HTTPS 설정,"Let's Encrypt SSL 인증서, Nginx HTTPS 리다이렉트",Highest,1,보안 강화,DevOps Agent,ssl,Sprint 3,To Do,Infrastructure
Task,API Rate Limiting,"요청 제한 미들웨어 (Redis 기반), IP별 제한",High,2,보안 강화,Backend Developer Agent,rate-limiting,Sprint 3,To Do,Backend
Task,CORS 설정,"허용 도메인 관리, Preflight 처리",Medium,1,보안 강화,Backend Developer Agent,cors,Sprint 3,To Do,Backend
Task,SQL Injection 방지,"ORM 사용 검증, Prepared Statement 확인",High,1,보안 강화,Backend Developer Agent,sql-injection,Sprint 3,To Do,Backend
Task,XSS 방지,"입력 sanitization, Content-Security-Policy 헤더",High,1,보안 강화,Frontend Developer Agent,xss,Sprint 3,To Do,Frontend
Task,보안 헤더 설정,"Helmet.js, X-Frame-Options, X-Content-Type-Options 등",Medium,1,보안 강화,Backend Developer Agent,security-headers,Sprint 3,To Do,Backend
Story,백업 & 복구,"PostgreSQL 자동 백업, Cron 설정, 백업 검증, 클라우드 업로드",Medium,3,인프라 & 배포,DevOps Agent,backup,Sprint 4,To Do,Infrastructure
Task,백업 스크립트,"PostgreSQL pg_dump, 압축, 날짜별 파일명",High,2,백업 & 복구,DevOps Agent,backup-script,Sprint 4,To Do,Infrastructure
Task,Cron 설정,"매일 새벽 2시 자동 백업, 로그 기록",Medium,1,백업 & 복구,DevOps Agent,cron,Sprint 4,To Do,Infrastructure
Task,백업 검증,"복구 테스트, 백업 파일 무결성 확인",High,1,백업 & 복구,DevOps Agent,validation,Sprint 4,To Do,Infrastructure
Task,클라우드 업로드,"S3/GCS 백업 (선택), 7일치 백업 유지",Low,2,백업 & 복구,DevOps Agent,cloud-backup,Sprint 4,To Do,Infrastructure
Story,프로덕션 배포,"VPS 설정, Docker/Nginx 설치, SSL, 환경 변수, 첫 배포, DNS",High,8,인프라 & 배포,DevOps Agent,production,Sprint 5,To Do,Infrastructure
Task,VPS 서버 설정,"DigitalOcean/Vultr 가입, 서버 생성 (4GB RAM), SSH 키 등록",Highest,2,프로덕션 배포,DevOps Agent,vps,Sprint 5,To Do,Infrastructure
Task,Docker 설치,"Docker, Docker Compose 설치, sudo 권한 설정",High,1,프로덕션 배포,DevOps Agent,docker,Sprint 5,To Do,Infrastructure
Task,Nginx 설정,"리버스 프록시 설정, 정적 파일 서빙, WebSocket 프록시",High,2,프로덕션 배포,DevOps Agent,nginx,Sprint 5,To Do,Infrastructure
Task,SSL 인증서,"Certbot 설치, Let's Encrypt 인증서 발급, 자동 갱신",High,1,프로덕션 배포,DevOps Agent,ssl,Sprint 5,To Do,Infrastructure
Task,환경 변수 설정,".env.production 작성, 비밀키 생성, DB 연결 정보",High,1,프로덕션 배포,DevOps Agent,env,Sprint 5,To Do,Infrastructure
Task,첫 배포,"docker-compose -f docker-compose.prod.yml up -d, 서비스 확인",Highest,1,프로덕션 배포,DevOps Agent,deployment,Sprint 5,To Do,Infrastructure
Task,도메인 연결,"DNS A 레코드 설정, 도메인 구매 (선택)",Medium,1,프로덕션 배포,DevOps Agent,dns,Sprint 5,To Do,Infrastructure
Task,배포 문서 작성,"운영 가이드, 장애 대응, 롤백 절차",Medium,2,프로덕션 배포,DevOps Agent,documentation,Sprint 5,To Do,Infrastructure
Story,백엔드 테스트,"단위 테스트, 통합 테스트, 커버리지 80%, E2E 주문 플로우",High,8,테스트 & 품질 관리,QA/Testing Agent,testing;backend,Sprint 4,To Do,QA
Task,단위 테스트 작성,"pytest로 핵심 로직 테스트, Mocking, Fixture",High,5,백엔드 테스트,QA/Testing Agent,unit-test,Sprint 4,To Do,QA
Task,통합 테스트,"API 엔드포인트 테스트, TestClient, DB 트랜잭션 롤백",High,4,백엔드 테스트,QA/Testing Agent,integration-test,Sprint 4,To Do,QA
Task,테스트 커버리지 측정,"pytest-cov로 80% 목표, 커버리지 리포트 생성",Medium,2,백엔드 테스트,QA/Testing Agent,coverage,Sprint 4,To Do,QA
Task,주문 플로우 테스트,"E2E 시나리오 (주문 생성 → 체결 → 포지션 업데이트)",High,3,백엔드 테스트,QA/Testing Agent,e2e,Sprint 4,To Do,QA
Story,프론트엔드 테스트,"컴포넌트 테스트, 통합 테스트, E2E (선택)",Medium,5,테스트 & 품질 관리,QA/Testing Agent,testing;frontend,Sprint 5,To Do,QA
Task,컴포넌트 테스트,"Jest + React Testing Library, 주요 컴포넌트 테스트",Medium,3,프론트엔드 테스트,QA/Testing Agent,component-test,Sprint 5,To Do,QA
Task,통합 테스트,"주요 플로우 테스트 (로그인, 주문), MSW로 API 모킹",Medium,3,프론트엔드 테스트,QA/Testing Agent,integration-test,Sprint 5,To Do,QA
Task,E2E 테스트,"Playwright/Cypress로 전체 플로우 테스트 (선택)",Low,4,프론트엔드 테스트,QA/Testing Agent,e2e,Sprint 5,To Do,QA
